tag	layer	tile_a_row	tile_a_col	tile_b_row	tile_b_col	target	pe_row	pe_col	bit	cell
0	0	3	1	1	1003	4	1	0	5	606
1	0	13	2	2	383	4	1	0	12	735
2	0	13	14	14	2413	8	0	1	27	350
3	0	8	9	9	3127	9	0	0	24	101
4	0	11	22	22	177	6	0	3	0	567
5	0	9	23	23	787	1	0	1	4	83
6	0	7	6	6	1138	6	2	1	0	365
7	0	6	17	17	2495	3	1	1	29	390
8	0	8	35	35	2804	9	0	1	2	325
9	0	12	17	17	864	9	1	3	25	660
10	0	14	9	9	571	4	2	3	25	372
11	0	7	8	8	2021	1	0	0	2	644
12	0	5	27	27	1576	5	3	2	0	698
13	0	3	34	34	2625	9	0	2	27	163
14	0	14	0	0	2050	3	0	2	12	158
15	0	11	10	10	2172	0	2	3	0	116
16	0	11	19	19	237	4	0	0	31	72
17	0	4	8	8	2251	3	2	3	13	554
18	0	6	19	19	2751	9	3	3	7	255
19	0	7	4	4	86	4	1	0	4	726
20	0	1	14	14	128	9	0	1	17	687
21	0	15	13	13	541	6	1	3	0	196
22	0	3	6	6	1451	5	3	3	0	691
23	0	3	3	3	2982	9	0	1	12	196
24	0	14	8	8	751	8	3	1	4	455
25	0	3	3	3	60	1	1	1	6	499
26	0	15	13	13	240	3	3	0	24	273
27	0	14	18	18	2853	6	1	1	0	224
28	0	1	34	34	3063	9	0	0	30	516
29	0	5	3	3	328	3	0	0	15	415
30	0	3	36	36	2371	0	0	3	5	269
31	0	6	20	20	1087	5	1	2	0	325
32	0	2	0	0	2544	1	0	1	4	137
33	0	11	4	4	1513	8	1	3	19	628
34	0	0	35	35	2717	1	1	2	1	111
35	0	4	17	17	2477	4	2	1	16	519
36	0	15	16	16	378	5	2	0	0	343
37	0	4	16	16	3036	6	3	0	0	79
38	0	4	34	34	1512	3	3	1	2	317
39	0	11	2	2	860	4	0	2	26	637
40	0	4	15	15	725	5	0	1	0	803
41	0	13	15	15	652	1	3	0	7	229
42	0	6	29	29	1250	4	1	0	12	410
43	0	10	17	17	1143	9	3	2	1	120
44	0	8	11	11	156	1	3	2	5	448
45	0	3	24	24	778	8	0	3	0	534
46	0	6	23	23	286	9	2	0	19	521
47	0	9	26	26	1648	8	1	1	26	682
48	0	12	11	11	1232	5	0	2	0	217
49	0	13	20	20	1809	6	1	3	0	676
50	0	2	18	18	2719	9	0	1	19	232
51	0	6	9	9	189	4	3	0	29	426
52	0	6	24	24	1636	4	1	0	6	799
53	0	13	14	14	2850	6	0	1	0	469
54	0	4	29	29	2289	9	3	3	28	164
55	0	15	28	28	3079	4	2	3	15	283
56	0	14	4	4	960	8	2	2	5	143
57	0	4	14	14	2842	3	1	0	26	419
58	0	10	34	34	1703	0	1	3	6	790
59	0	0	36	36	1953	0	2	2	6	431
60	0	7	31	31	1117	5	3	0	0	346
61	0	12	10	10	522	0	3	0	1	660
62	0	13	8	8	744	0	2	3	5	218
63	0	14	20	20	3117	5	2	3	0	85
64	0	15	1	1	213	9	1	0	2	774
65	0	0	15	15	83	3	1	1	30	687
66	0	3	36	36	1904	8	2	1	7	798
67	0	5	19	19	2370	0	2	3	6	734
68	0	6	4	4	417	8	0	0	22	547
69	0	13	23	23	2072	9	0	3	31	110
70	0	13	23	23	2897	3	3	1	17	632
71	0	15	29	29	2994	8	2	1	5	287
72	0	14	15	15	2334	5	2	0	0	334
73	0	5	31	31	1453	8	2	2	17	571
74	0	0	33	33	350	4	3	3	15	709
75	0	15	31	31	70	1	2	1	6	710
76	0	7	19	19	1938	9	3	2	22	721
77	0	14	17	17	1029	4	0	1	20	124
78	0	5	12	12	3025	6	2	2	0	200
79	0	9	14	14	734	8	0	1	17	48
80	0	1	35	35	2856	3	3	0	0	589
81	0	9	30	30	1804	9	1	0	16	491
82	0	3	4	4	2014	1	0	1	2	578
83	0	9	5	5	485	5	1	3	0	455
84	0	9	27	27	2329	0	0	1	3	272
85	0	2	10	10	711	1	1	0	6	463
86	0	15	18	18	948	8	2	3	4	705
87	0	7	16	16	1741	1	1	1	4	147
88	0	2	3	3	1259	8	3	0	29	707
89	0	9	25	25	2049	6	3	0	0	444
90	0	10	16	16	374	4	0	2	2	783
91	0	5	30	30	2668	6	2	1	0	652
92	0	15	5	5	1425	5	2	2	0	166
93	0	10	26	26	1180	5	0	3	0	324
94	0	8	20	20	1655	0	3	3	0	194
95	0	11	31	31	3112	0	1	2	2	296
96	0	14	31	31	118	4	1	2	0	567
97	0	13	5	5	464	6	0	1	0	735
98	0	9	32	32	1701	6	3	1	0	566
99	0	4	24	24	2455	3	0	2	26	350
100	0	8	0	0	2973	8	3	1	28	553
101	0	15	22	22	2260	5	3	2	0	716
102	0	7	36	36	956	5	0	2	0	724
103	0	12	24	24	2028	0	1	2	1	452
104	0	3	33	33	62	3	3	1	4	482
105	0	8	21	21	2661	1	2	3	5	643
106	0	15	34	34	2529	1	1	2	3	766
107	0	2	27	27	3114	1	3	1	4	31
108	0	1	20	20	1201	9	2	3	9	252
109	0	13	36	36	696	3	0	3	15	511
110	0	4	14	14	2612	8	3	2	0	478
111	0	9	34	34	302	6	2	2	0	708
112	0	8	29	29	815	5	3	0	0	392
113	0	11	36	36	2864	8	0	3	17	10
114	0	1	31	31	942	9	1	1	16	696
115	0	4	6	6	1265	6	0	2	0	94
116	0	9	20	20	719	4	1	2	17	170
117	0	8	30	30	3057	9	0	3	4	146
118	0	7	25	25	1498	1	3	0	4	551
119	0	3	29	29	2755	8	3	2	6	693
120	0	7	30	30	2537	9	1	0	29	719
121	0	9	26	26	572	0	0	2	7	120
122	0	3	15	15	555	5	3	2	0	603
123	0	4	26	26	2004	5	2	0	0	224
124	0	14	28	28	1485	1	2	2	0	409
125	0	8	12	12	1862	1	1	0	0	807
126	0	10	15	15	2312	4	0	1	13	240
127	0	10	9	9	1135	3	1	2	11	114
128	0	0	8	8	1467	4	2	0	11	273
129	0	1	8	8	2154	1	0	3	7	798
130	0	11	32	32	1851	4	0	2	29	660
131	0	0	3	3	1645	5	0	3	0	77
132	0	2	20	20	269	3	2	2	24	613
133	0	9	29	29	2479	5	0	0	0	442
134	0	14	14	14	1388	6	3	3	0	322
135	0	13	20	20	1533	3	3	0	5	89
136	0	2	27	27	3049	9	1	0	21	688
137	0	3	26	26	2725	5	0	2	0	362
138	0	3	36	36	871	3	3	1	6	360
139	0	11	7	7	2351	4	3	0	17	31
140	0	5	17	17	1391	9	0	1	9	581
141	0	12	4	4	3035	0	0	1	6	431
142	0	14	21	21	1515	8	2	0	3	161
143	0	5	3	3	1114	6	3	3	0	426
144	0	8	13	13	466	9	3	0	18	696
145	0	15	33	33	186	4	3	0	0	211
146	0	9	13	13	3130	8	2	2	7	9
147	0	15	27	27	529	5	1	2	0	408
148	0	1	27	27	1883	1	2	3	6	728
149	0	13	18	18	1659	0	2	1	7	708
150	0	11	5	5	433	4	3	3	5	407
151	0	9	21	21	1364	3	0	0	12	796
152	0	11	22	22	967	1	1	2	3	179
153	0	4	4	4	2572	6	3	3	0	644
154	0	10	9	9	279	6	3	2	0	607
155	0	1	22	22	303	8	3	3	2	60
156	0	11	18	18	2640	1	3	3	0	462
157	0	6	20	20	2053	3	0	3	6	353
158	0	2	32	32	160	4	3	3	10	374
159	0	11	18	18	1674	9	0	2	4	339
160	0	3	35	35	1163	8	1	2	5	598
161	0	4	22	22	2687	5	1	0	0	574
162	0	12	21	21	2744	1	3	2	0	373
163	0	9	11	11	1399	6	1	1	0	160
164	0	2	18	18	2079	0	2	1	6	159
165	0	5	11	11	2953	6	0	3	0	694
166	0	7	28	28	3081	6	1	1	0	805
167	0	15	12	12	2778	6	3	2	0	516
168	0	13	10	10	2476	3	2	0	30	382
169	0	3	33	33	1167	1	1	2	7	527
170	0	4	27	27	909	6	2	0	0	56
171	0	12	32	32	965	5	0	2	0	30
172	0	10	6	6	598	3	0	2	30	714
173	0	4	30	30	2520	0	0	0	4	222
174	0	4	35	35	1733	1	2	1	4	126
175	0	1	15	15	2617	6	0	0	0	613
176	0	0	32	32	990	3	2	3	0	631
177	0	11	15	15	1706	3	0	2	4	540
178	0	0	24	24	178	5	2	2	0	367
179	0	2	22	22	3002	1	2	1	0	362
180	0	10	11	11	2848	6	1	1	0	735
181	0	14	2	2	825	0	1	0	5	319
182	0	12	34	34	1037	0	1	2	5	801
183	0	1	21	21	509	9	3	3	28	397
184	0	10	11	11	2834	6	2	2	0	746
185	0	13	5	5	2467	3	2	2	6	83
